cluster	number of LBDs	DPS	PAB species	total species
cluster_4261	1	0.00	0	1
cluster_4262	1	0.00	0	1
cluster_4263	1	0.00	0	1
cluster_4264	1	0.00	0	1
cluster_4265	1	0.00	0	1
cluster_4266	1	0.00	0	1
cluster_4267	1	0.00	0	1
cluster_4268	1	0.00	0	1
cluster_4269	1	0.00	0	1
cluster_4270	1	0.00	0	1
cluster_4271	1	0.00	0	1
cluster_4272	1	0.00	0	1
cluster_4273	1	0.00	0	1
cluster_4274	1	0.00	0	1
cluster_4275	1	0.00	0	1
cluster_4276	1	0.00	0	1
cluster_4277	1	0.00	0	1
cluster_4278	1	0.00	0	1
cluster_4279	1	0.00	0	1
cluster_4280	1	0.00	0	1
cluster_4281	1	0.00	0	1
cluster_4282	1	0.00	0	1
cluster_4283	1	0.00	0	1
cluster_4284	1	0.00	0	1
cluster_4285	1	0.00	0	1
cluster_4286	1	0.00	0	1
cluster_4287	1	0.00	0	1
cluster_4288	1	0.00	0	1
cluster_4289	1	0.00	0	1
cluster_4290	1	0.00	0	1
cluster_4291	1	0.00	0	1
cluster_4292	1	0.00	0	1
cluster_4293	1	0.00	0	1
cluster_4294	1	0.00	0	1
cluster_4295	1	0.00	0	1
cluster_4296	1	0.00	0	1
cluster_4297	1	0.00	0	1
cluster_4298	1	0.00	0	1
cluster_4299	1	0.00	0	1
cluster_4300	1	0.00	0	1
cluster_4301	1	0.00	0	1
cluster_4302	1	0.00	0	1
cluster_4303	1	0.00	0	1
cluster_4304	1	0.00	0	1
cluster_4305	1	100.00	1	1
cluster_4306	1	0.00	0	1
cluster_4307	1	0.00	0	1
cluster_4308	1	0.00	0	1
cluster_4309	1	0.00	0	1
cluster_4310	1	0.00	0	1
cluster_4311	1	0.00	0	1
cluster_4312	1	0.00	0	1
cluster_4313	1	0.00	0	1
cluster_4314	1	0.00	0	1
cluster_4315	1	0.00	0	1
cluster_4316	1	0.00	0	1
cluster_4317	1	0.00	0	1
cluster_4318	1	0.00	0	1
cluster_4319	1	0.00	0	1
cluster_4320	1	0.00	0	1
cluster_4321	1	0.00	0	1
cluster_4322	1	0.00	0	1
cluster_4323	1	0.00	0	1
cluster_4324	1	0.00	0	1
cluster_4325	1	0.00	0	1
cluster_4326	1	0.00	0	1
cluster_4327	1	0.00	0	1
cluster_4328	1	0.00	0	1
cluster_4329	1	0.00	0	1
cluster_4330	1	0.00	0	1
cluster_4331	1	0.00	0	1
cluster_4332	1	0.00	0	1
cluster_4333	1	0.00	0	1
cluster_4334	1	0.00	0	1
cluster_4335	1	100.00	1	1
cluster_4336	1	0.00	0	1
cluster_4337	1	0.00	0	1
cluster_4338	1	0.00	0	1
cluster_4339	1	0.00	0	1
cluster_4340	1	0.00	0	1
cluster_4341	1	100.00	1	1
cluster_4342	1	100.00	1	1
cluster_4343	1	100.00	1	1
cluster_4344	1	100.00	1	1
cluster_4345	1	0.00	0	1
cluster_4346	1	0.00	0	1
cluster_4347	1	0.00	0	1
cluster_4348	1	0.00	0	1
cluster_4349	1	0.00	0	1
cluster_4350	1	100.00	1	1
cluster_4351	1	100.00	1	1
cluster_4352	1	100.00	1	1
cluster_4353	1	100.00	1	1
cluster_4354	1	100.00	1	1
cluster_4355	1	100.00	1	1
cluster_4356	1	100.00	1	1
cluster_4357	1	100.00	1	1
cluster_4358	1	100.00	1	1
cluster_4359	1	100.00	1	1
cluster_4360	1	100.00	1	1
cluster_4361	1	100.00	1	1
cluster_4362	1	100.00	1	1
cluster_4363	1	0.00	0	1
cluster_4364	1	0.00	0	1
cluster_4365	1	0.00	0	1
cluster_4366	1	0.00	0	1
cluster_4367	1	0.00	0	1
cluster_4368	1	0.00	0	1
cluster_4369	1	0.00	0	1
cluster_4370	1	0.00	0	1
cluster_4371	1	0.00	0	1
cluster_4372	1	0.00	0	1
cluster_4373	1	0.00	0	1
cluster_4374	1	0.00	0	1
cluster_4375	1	0.00	0	1
cluster_4376	1	0.00	0	1
cluster_4377	1	0.00	0	1
cluster_4378	1	0.00	0	1
cluster_4379	1	0.00	0	1
cluster_4380	1	100.00	1	1
cluster_4381	1	0.00	0	1
cluster_4382	1	0.00	0	1
cluster_4383	1	0.00	0	1
cluster_4384	1	100.00	1	1
cluster_4385	1	0.00	0	1
cluster_4386	1	0.00	0	1
cluster_4387	1	0.00	0	1
cluster_4388	1	0.00	0	1
cluster_4389	1	0.00	0	1
cluster_4390	1	0.00	0	1
cluster_4391	1	0.00	0	1
cluster_4392	1	0.00	0	1
cluster_4393	1	0.00	0	1
cluster_4394	1	0.00	0	1
cluster_4395	1	0.00	0	1
cluster_4396	1	0.00	0	1
cluster_4397	1	0.00	0	1
cluster_4398	1	0.00	0	1
cluster_4399	1	0.00	0	1
cluster_4400	1	0.00	0	1
cluster_4401	1	0.00	0	1
cluster_4402	1	0.00	0	1
cluster_4403	1	0.00	0	1
cluster_4404	1	0.00	0	1
cluster_4405	1	0.00	0	1
cluster_4406	1	0.00	0	1
cluster_4407	1	0.00	0	1
cluster_4408	1	0.00	0	1
cluster_4409	1	0.00	0	1
cluster_4410	1	0.00	0	1
cluster_4411	1	0.00	0	1
cluster_4412	1	0.00	0	1
cluster_4413	1	0.00	0	1
cluster_4414	1	0.00	0	1
cluster_4415	1	0.00	0	1
cluster_4416	1	0.00	0	1
cluster_4417	1	0.00	0	1
cluster_4418	1	0.00	0	1
cluster_4419	1	0.00	0	1
cluster_4420	1	0.00	0	1
cluster_4421	1	0.00	0	1
cluster_4422	1	0.00	0	1
cluster_4423	1	0.00	0	1
cluster_4424	1	0.00	0	1
cluster_4425	1	0.00	0	1
cluster_4426	1	0.00	0	1
cluster_4427	1	0.00	0	1
cluster_4428	1	0.00	0	1
cluster_4429	1	0.00	0	1
cluster_4430	1	0.00	0	1
cluster_4431	1	0.00	0	1
cluster_4432	1	0.00	0	1
cluster_4433	1	0.00	0	1
cluster_4434	1	0.00	0	1
cluster_4435	1	0.00	0	1
cluster_4436	1	0.00	0	1
cluster_4437	1	0.00	0	1
cluster_4438	1	0.00	0	1
cluster_4439	1	0.00	0	1
cluster_4440	1	0.00	0	1
cluster_4441	1	0.00	0	1
cluster_4442	1	0.00	0	1
cluster_4443	1	0.00	0	1
cluster_4444	1	0.00	0	1
cluster_4445	1	0.00	0	1
cluster_4446	1	0.00	0	1
cluster_4447	1	0.00	0	1
cluster_4448	1	0.00	0	1
cluster_4449	1	0.00	0	1
cluster_4450	1	0.00	0	1
cluster_4451	1	0.00	0	1
cluster_4452	1	0.00	0	1
cluster_4453	1	0.00	0	1
cluster_4454	1	0.00	0	1
cluster_4455	1	0.00	0	1
cluster_4456	1	0.00	0	1
cluster_4457	1	100.00	1	1
cluster_4458	1	0.00	0	1
cluster_4459	1	0.00	0	1
cluster_4460	1	0.00	0	1
cluster_4461	1	0.00	0	1
cluster_4462	1	0.00	0	1
cluster_4463	1	0.00	0	1
cluster_4464	1	0.00	0	1
cluster_4465	1	0.00	0	1
cluster_4466	1	0.00	0	1
cluster_4467	1	0.00	0	1
cluster_4468	1	0.00	0	1
cluster_4469	1	0.00	0	1
cluster_4470	1	0.00	0	1
cluster_4471	1	100.00	1	1
cluster_4472	1	0.00	0	1
cluster_4473	1	0.00	0	1
cluster_4474	1	0.00	0	1
cluster_4475	1	0.00	0	1
cluster_4476	1	0.00	0	1
cluster_4477	1	0.00	0	1
cluster_4478	1	0.00	0	1
cluster_4479	1	0.00	0	1
cluster_4480	1	0.00	0	1
cluster_4481	1	0.00	0	1
cluster_4482	1	0.00	0	1
cluster_4483	1	0.00	0	1
cluster_4484	1	0.00	0	1
cluster_4485	1	0.00	0	1
cluster_4486	1	0.00	0	1
cluster_4487	1	0.00	0	1
cluster_4488	1	0.00	0	1
cluster_4489	1	0.00	0	1
cluster_4490	1	0.00	0	1
cluster_4491	1	0.00	0	1
cluster_4492	1	0.00	0	1
cluster_4493	1	0.00	0	1
cluster_4494	1	0.00	0	1
cluster_4495	1	0.00	0	1
cluster_4496	1	0.00	0	1
cluster_4497	1	0.00	0	1
cluster_4498	1	0.00	0	1
cluster_4499	1	0.00	0	1
cluster_4500	1	0.00	0	1
cluster_4501	1	0.00	0	1
cluster_4502	1	0.00	0	1
cluster_4503	1	0.00	0	1
cluster_4504	1	0.00	0	1
cluster_4505	1	0.00	0	1
cluster_4506	1	0.00	0	1
cluster_4507	1	0.00	0	1
cluster_4508	1	0.00	0	1
cluster_4509	1	0.00	0	1
cluster_4510	1	0.00	0	1
cluster_4511	1	0.00	0	1
cluster_4512	1	0.00	0	1
cluster_4513	1	0.00	0	1
cluster_4514	1	0.00	0	1
cluster_4515	1	0.00	0	1
cluster_4516	1	0.00	0	1
cluster_4517	1	0.00	0	1
cluster_4518	1	100.00	1	1
cluster_4519	1	0.00	0	1
cluster_4520	1	0.00	0	1
cluster_4521	1	0.00	0	1
cluster_4522	1	0.00	0	1
cluster_4523	1	0.00	0	1
cluster_4524	1	0.00	0	1
cluster_4525	1	0.00	0	1
cluster_4526	1	0.00	0	1
cluster_4527	1	100.00	1	1
cluster_4528	1	0.00	0	1
cluster_4529	1	0.00	0	1
cluster_4530	1	0.00	0	1
cluster_4531	1	0.00	0	1
cluster_4532	1	0.00	0	1
cluster_4533	1	0.00	0	1
cluster_4534	1	0.00	0	1
cluster_4535	1	0.00	0	1
cluster_4536	1	0.00	0	1
cluster_4537	1	0.00	0	1
cluster_4538	1	0.00	0	1
cluster_4539	1	0.00	0	1
cluster_4540	1	0.00	0	1
cluster_4541	1	0.00	0	1
cluster_4542	1	0.00	0	1
cluster_4543	1	0.00	0	1
cluster_4544	1	0.00	0	1
cluster_4545	1	0.00	0	1
cluster_4546	1	0.00	0	1
cluster_4547	1	0.00	0	1
cluster_4548	1	0.00	0	1
cluster_4549	1	0.00	0	1
cluster_4550	1	0.00	0	1
cluster_4551	1	0.00	0	1
cluster_4552	1	0.00	0	1
cluster_4553	1	0.00	0	1
cluster_4554	1	0.00	0	1
cluster_4555	1	0.00	0	1
cluster_4556	1	0.00	0	1
cluster_4557	1	0.00	0	1
cluster_4558	1	0.00	0	1
cluster_4559	1	0.00	0	1
cluster_4560	1	0.00	0	1
cluster_4561	1	0.00	0	1
cluster_4562	1	0.00	0	1
cluster_4563	1	0.00	0	1
cluster_4564	1	0.00	0	1
cluster_4565	1	0.00	0	1
cluster_4566	1	0.00	0	1
cluster_4567	1	0.00	0	1
cluster_4568	1	0.00	0	1
cluster_4569	1	0.00	0	1
cluster_4570	1	0.00	0	1
cluster_4571	1	0.00	0	1
cluster_4572	1	0.00	0	1
cluster_4573	1	0.00	0	1
cluster_4574	1	0.00	0	1
cluster_4575	1	0.00	0	1
cluster_4576	1	0.00	0	1
cluster_4577	1	0.00	0	1
cluster_4578	1	0.00	0	1
cluster_4579	1	0.00	0	1
cluster_4580	1	0.00	0	1
cluster_4581	1	0.00	0	1
cluster_4582	1	0.00	0	1
cluster_4583	1	0.00	0	1
cluster_4584	1	0.00	0	1
cluster_4585	1	0.00	0	1
cluster_4586	1	0.00	0	1
cluster_4587	1	0.00	0	1
cluster_4588	1	0.00	0	1
cluster_4589	1	0.00	0	1
cluster_4590	1	0.00	0	1
cluster_4591	1	100.00	1	1
cluster_4592	1	0.00	0	1
cluster_4593	1	0.00	0	1
cluster_4594	1	0.00	0	1
cluster_4595	1	100.00	1	1
cluster_4596	1	0.00	0	1
cluster_4597	1	0.00	0	1
cluster_4598	1	0.00	0	1
cluster_4599	1	0.00	0	1
cluster_4600	1	0.00	0	1
cluster_4601	1	100.00	1	1
cluster_4602	1	0.00	0	1
cluster_4603	1	0.00	0	1
cluster_4604	1	0.00	0	1
cluster_4605	1	0.00	0	1
cluster_4606	1	0.00	0	1
cluster_4607	1	0.00	0	1
cluster_4608	1	0.00	0	1
cluster_4609	1	0.00	0	1
cluster_4610	1	0.00	0	1
cluster_4611	1	0.00	0	1
cluster_4612	1	0.00	0	1
cluster_4613	1	0.00	0	1
cluster_4614	1	0.00	0	1
cluster_4615	1	0.00	0	1
cluster_4616	1	0.00	0	1
cluster_4617	1	0.00	0	1
cluster_4618	1	0.00	0	1
cluster_4619	1	0.00	0	1
cluster_4620	1	0.00	0	1
cluster_4621	1	0.00	0	1
cluster_4622	1	0.00	0	1
cluster_4623	1	0.00	0	1
cluster_4624	1	100.00	1	1
cluster_4625	1	0.00	0	1
cluster_4626	1	0.00	0	1
cluster_4627	1	100.00	1	1
cluster_4628	1	0.00	0	1
cluster_4629	1	0.00	0	1
cluster_4630	1	0.00	0	1
cluster_4631	1	0.00	0	1
cluster_4632	1	0.00	0	1
cluster_4633	1	0.00	0	1
cluster_4634	1	0.00	0	1
cluster_4635	1	100.00	1	1
cluster_4636	1	100.00	1	1
cluster_4637	1	100.00	1	1
cluster_4638	1	0.00	0	1
cluster_4639	1	0.00	0	1
cluster_4640	1	0.00	0	1
cluster_4641	1	0.00	0	1
cluster_4642	1	0.00	0	1
cluster_4643	1	0.00	0	1
cluster_4644	1	0.00	0	1
cluster_4645	1	0.00	0	1
cluster_4646	1	0.00	0	1
cluster_4647	1	0.00	0	1
cluster_4648	1	0.00	0	1
cluster_4649	1	0.00	0	1
cluster_4650	1	0.00	0	1
cluster_4651	1	0.00	0	1
cluster_4652	1	0.00	0	1
cluster_4653	1	0.00	0	1
cluster_4654	1	0.00	0	1
cluster_4655	1	0.00	0	1
cluster_4656	1	0.00	0	1
cluster_4657	1	0.00	0	1
cluster_4658	1	0.00	0	1
cluster_4659	1	0.00	0	1
cluster_4660	1	0.00	0	1
cluster_4661	1	100.00	1	1
cluster_4662	1	0.00	0	1
cluster_4663	1	0.00	0	1
cluster_4664	1	0.00	0	1
cluster_4665	1	0.00	0	1
cluster_4666	1	0.00	0	1
cluster_4667	1	0.00	0	1
cluster_4668	1	0.00	0	1
cluster_4669	1	0.00	0	1
cluster_4670	1	0.00	0	1
cluster_4671	1	0.00	0	1
cluster_4672	1	0.00	0	1
cluster_4673	1	0.00	0	1
cluster_4674	1	0.00	0	1
cluster_4675	1	0.00	0	1
cluster_4676	1	0.00	0	1
cluster_4677	1	0.00	0	1
cluster_4678	1	0.00	0	1
cluster_4679	1	0.00	0	1
cluster_4680	1	0.00	0	1
cluster_4681	1	0.00	0	1
cluster_4682	1	0.00	0	1
cluster_4683	1	0.00	0	1
cluster_4684	1	0.00	0	1
cluster_4685	1	0.00	0	1
cluster_4686	1	0.00	0	1
cluster_4687	1	0.00	0	1
cluster_4688	1	0.00	0	1
cluster_4689	1	0.00	0	1
cluster_4690	1	0.00	0	1
cluster_4691	1	0.00	0	1
cluster_4692	1	0.00	0	1
cluster_4693	1	0.00	0	1
cluster_4694	1	0.00	0	1
cluster_4695	1	0.00	0	1
cluster_4696	1	0.00	0	1
cluster_4697	1	0.00	0	1
cluster_4698	1	0.00	0	1
cluster_4699	1	0.00	0	1
cluster_4700	1	0.00	0	1
cluster_4701	1	0.00	0	1
cluster_4702	1	0.00	0	1
cluster_4703	1	0.00	0	1
cluster_4704	1	0.00	0	1
cluster_4705	1	0.00	0	1
cluster_4706	1	0.00	0	1
cluster_4707	1	0.00	0	1
cluster_4708	1	0.00	0	1
cluster_4709	1	0.00	0	1
cluster_4710	1	0.00	0	1
cluster_4711	1	0.00	0	1
cluster_4712	1	0.00	0	1
cluster_4713	1	0.00	0	1
cluster_4714	1	0.00	0	1
cluster_4715	1	0.00	0	1
cluster_4716	1	0.00	0	1
cluster_4717	1	0.00	0	1
cluster_4718	1	0.00	0	1
cluster_4719	1	0.00	0	1
cluster_4720	1	0.00	0	1
cluster_4721	1	0.00	0	1
cluster_4722	1	100.00	1	1
cluster_4723	1	100.00	1	1
cluster_4724	1	0.00	0	1
cluster_4725	1	0.00	0	1
cluster_4726	1	0.00	0	1
cluster_4727	1	0.00	0	1
cluster_4728	1	0.00	0	1
cluster_4729	1	0.00	0	1
cluster_4730	1	100.00	1	1
cluster_4731	1	0.00	0	1
cluster_4732	1	0.00	0	1
cluster_4733	1	0.00	0	1
cluster_4734	1	0.00	0	1
cluster_4735	1	0.00	0	1
cluster_4736	1	0.00	0	1
cluster_4737	1	0.00	0	1
cluster_4738	1	0.00	0	1
cluster_4739	1	0.00	0	1
cluster_4740	1	0.00	0	1
cluster_4741	1	0.00	0	1
cluster_4742	1	0.00	0	1
cluster_4743	1	0.00	0	1
cluster_4744	1	0.00	0	1
cluster_4745	1	0.00	0	1
cluster_4746	1	0.00	0	1
cluster_4747	1	0.00	0	1
cluster_4748	1	0.00	0	1
cluster_4749	1	0.00	0	1
cluster_4750	1	0.00	0	1
cluster_4751	1	0.00	0	1
cluster_4752	1	0.00	0	1
cluster_4753	1	100.00	1	1
cluster_4754	1	0.00	0	1
cluster_4755	1	0.00	0	1
cluster_4756	1	0.00	0	1
cluster_4757	1	0.00	0	1
cluster_4758	1	0.00	0	1
cluster_4759	1	0.00	0	1
cluster_4760	1	100.00	1	1
cluster_4761	1	0.00	0	1
cluster_4762	1	0.00	0	1
cluster_4763	1	0.00	0	1
cluster_4764	1	0.00	0	1
cluster_4765	1	0.00	0	1
cluster_4766	1	0.00	0	1
cluster_4767	1	0.00	0	1
cluster_4768	1	0.00	0	1
cluster_4769	1	0.00	0	1
cluster_4770	1	0.00	0	1
cluster_4771	1	0.00	0	1
cluster_4772	1	0.00	0	1
cluster_4773	1	0.00	0	1
cluster_4774	1	0.00	0	1
cluster_4775	1	100.00	1	1
cluster_4776	1	100.00	1	1
cluster_4777	1	0.00	0	1
cluster_4778	1	0.00	0	1
cluster_4779	1	0.00	0	1
cluster_4780	1	0.00	0	1
cluster_4781	1	0.00	0	1
cluster_4782	1	0.00	0	1
cluster_4783	1	0.00	0	1
cluster_4784	1	0.00	0	1
cluster_4785	1	0.00	0	1
cluster_4786	1	0.00	0	1
cluster_4787	1	0.00	0	1
cluster_4788	1	0.00	0	1
cluster_4789	1	0.00	0	1
cluster_4790	1	0.00	0	1
cluster_4791	1	0.00	0	1
cluster_4792	1	0.00	0	1
cluster_4793	1	0.00	0	1
cluster_4794	1	0.00	0	1
cluster_4795	1	0.00	0	1
cluster_4796	1	0.00	0	1
cluster_4797	1	0.00	0	1
cluster_4798	1	0.00	0	1
cluster_4799	1	0.00	0	1
cluster_4800	1	0.00	0	1
cluster_4801	1	0.00	0	1
cluster_4802	1	0.00	0	1
cluster_4803	1	0.00	0	1
cluster_4804	1	100.00	1	1
cluster_4805	1	0.00	0	1
cluster_4806	1	0.00	0	1
cluster_4807	1	100.00	1	1
cluster_4808	1	0.00	0	1
cluster_4809	1	0.00	0	1
cluster_4810	1	0.00	0	1
cluster_4811	1	0.00	0	1
cluster_4812	1	0.00	0	1
cluster_4813	1	0.00	0	1
cluster_4814	1	0.00	0	1
cluster_4815	1	100.00	1	1
cluster_4816	1	0.00	0	1
cluster_4817	1	0.00	0	1
cluster_4818	1	0.00	0	1
cluster_4819	1	0.00	0	1
cluster_4820	1	0.00	0	1
cluster_4821	1	0.00	0	1
cluster_4822	1	0.00	0	1
cluster_4823	1	0.00	0	1
cluster_4824	1	0.00	0	1
cluster_4825	1	0.00	0	1
cluster_4826	1	0.00	0	1
cluster_4827	1	0.00	0	1
cluster_4828	1	0.00	0	1
cluster_4829	1	0.00	0	1
cluster_4830	1	0.00	0	1
cluster_4831	1	0.00	0	1
cluster_4832	1	0.00	0	1
cluster_4833	1	0.00	0	1
cluster_4834	1	0.00	0	1
cluster_4835	1	0.00	0	1
cluster_4836	1	0.00	0	1
cluster_4837	1	0.00	0	1
cluster_4838	1	0.00	0	1
cluster_4839	1	0.00	0	1
cluster_4840	1	0.00	0	1
cluster_4841	1	0.00	0	1
cluster_4842	1	0.00	0	1
cluster_4843	1	0.00	0	1
cluster_4844	1	0.00	0	1
cluster_4845	1	0.00	0	1
cluster_4846	1	0.00	0	1
cluster_4847	1	0.00	0	1
cluster_4848	1	100.00	1	1
cluster_4849	1	100.00	1	1
cluster_4850	1	0.00	0	1
cluster_4851	1	0.00	0	1
cluster_4852	1	0.00	0	1
cluster_4853	1	0.00	0	1
cluster_4854	1	0.00	0	1
cluster_4855	1	0.00	0	1
cluster_4856	1	0.00	0	1
cluster_4857	1	0.00	0	1
cluster_4858	1	100.00	1	1
cluster_4859	1	0.00	0	1
cluster_4860	1	0.00	0	1
cluster_4861	1	0.00	0	1
cluster_4862	1	0.00	0	1
cluster_4863	1	0.00	0	1
cluster_4864	1	0.00	0	1
cluster_4865	1	0.00	0	1
cluster_4866	1	0.00	0	1
cluster_4867	1	0.00	0	1
cluster_4868	1	0.00	0	1
cluster_4869	1	0.00	0	1
cluster_4870	1	0.00	0	1
cluster_4871	1	0.00	0	1
cluster_4872	1	0.00	0	1
cluster_4873	1	100.00	1	1
cluster_4874	1	0.00	0	1
cluster_4875	1	0.00	0	1
cluster_4876	1	0.00	0	1
cluster_4877	1	0.00	0	1
cluster_4878	1	0.00	0	1
cluster_4879	1	0.00	0	1
cluster_4880	1	0.00	0	1
cluster_4881	1	100.00	1	1
cluster_4882	1	100.00	1	1
cluster_4883	1	100.00	1	1
cluster_4884	1	100.00	1	1
cluster_4885	1	100.00	1	1
cluster_4886	1	100.00	1	1
cluster_4887	1	100.00	1	1
cluster_4888	1	0.00	0	1
cluster_4889	1	0.00	0	1
cluster_4890	1	0.00	0	1
cluster_4891	1	100.00	1	1
cluster_4892	1	0.00	0	1
cluster_4893	1	0.00	0	1
cluster_4894	1	0.00	0	1
cluster_4895	1	0.00	0	1
cluster_4896	1	0.00	0	1
cluster_4897	1	0.00	0	1
cluster_4898	1	100.00	1	1
cluster_4899	1	100.00	1	1
cluster_4900	1	100.00	1	1
cluster_4901	1	100.00	1	1
cluster_4902	1	0.00	0	1
cluster_4903	1	0.00	0	1
cluster_4904	1	0.00	0	1
cluster_4905	1	0.00	0	1
cluster_4906	1	0.00	0	1
cluster_4907	1	0.00	0	1
cluster_4908	1	0.00	0	1
cluster_4909	1	0.00	0	1
cluster_4910	1	0.00	0	1
cluster_4911	1	0.00	0	1
cluster_4912	1	0.00	0	1
cluster_4913	1	0.00	0	1
cluster_4914	1	0.00	0	1
cluster_4915	1	0.00	0	1
cluster_4916	1	0.00	0	1
cluster_4917	1	0.00	0	1
cluster_4918	1	0.00	0	1
cluster_4919	1	0.00	0	1
cluster_4920	1	0.00	0	1
cluster_4921	1	0.00	0	1
cluster_4922	1	0.00	0	1
cluster_4923	1	0.00	0	1
cluster_4924	1	0.00	0	1
cluster_4925	1	0.00	0	1
cluster_4926	1	0.00	0	1
cluster_4927	1	0.00	0	1
cluster_4928	1	0.00	0	1
cluster_4929	1	0.00	0	1
cluster_4930	1	0.00	0	1
cluster_4931	1	0.00	0	1
cluster_4932	1	0.00	0	1
cluster_4933	1	0.00	0	1
cluster_4934	1	0.00	0	1
cluster_4935	1	0.00	0	1
cluster_4936	1	0.00	0	1
cluster_4937	1	0.00	0	1
cluster_4938	1	0.00	0	1
cluster_4939	1	0.00	0	1
cluster_4940	1	0.00	0	1
cluster_4941	1	0.00	0	1
cluster_4942	1	0.00	0	1
cluster_4943	1	0.00	0	1
cluster_4944	1	0.00	0	1
cluster_4945	1	0.00	0	1
cluster_4946	1	0.00	0	1
cluster_4947	1	0.00	0	1
cluster_4948	1	0.00	0	1
cluster_4949	1	0.00	0	1
cluster_4950	1	0.00	0	1
cluster_4951	1	0.00	0	1
cluster_4952	1	0.00	0	1
cluster_4953	1	0.00	0	1
cluster_4954	1	0.00	0	1
cluster_4955	1	0.00	0	1
cluster_4956	1	0.00	0	1
cluster_4957	1	0.00	0	1
cluster_4958	1	0.00	0	1
cluster_4959	1	0.00	0	1
cluster_4960	1	0.00	0	1
cluster_4961	1	0.00	0	1
cluster_4962	1	0.00	0	1
cluster_4963	1	100.00	1	1
cluster_4964	1	100.00	1	1
cluster_4965	1	0.00	0	1
cluster_4966	1	0.00	0	1
cluster_4967	1	0.00	0	1
cluster_4968	1	0.00	0	1
cluster_4969	1	0.00	0	1
cluster_4970	1	0.00	0	1
cluster_4971	1	0.00	0	1
cluster_4972	1	0.00	0	1
cluster_4973	1	0.00	0	1
cluster_4974	1	0.00	0	1
cluster_4975	1	0.00	0	1
cluster_4976	1	0.00	0	1
cluster_4977	1	0.00	0	1
cluster_4978	1	0.00	0	1
cluster_4979	1	0.00	0	1
cluster_4980	1	0.00	0	1
cluster_4981	1	0.00	0	1
cluster_4982	1	0.00	0	1
cluster_4983	1	0.00	0	1
cluster_4984	1	0.00	0	1
cluster_4985	1	0.00	0	1
cluster_4986	1	0.00	0	1
cluster_4987	1	0.00	0	1
cluster_4988	1	0.00	0	1
cluster_4989	1	0.00	0	1
cluster_4990	1	0.00	0	1
cluster_4991	1	100.00	1	1
cluster_4992	1	100.00	1	1
cluster_4993	1	100.00	1	1
cluster_4994	1	100.00	1	1
cluster_4995	1	0.00	0	1
cluster_4996	1	0.00	0	1
cluster_4997	1	0.00	0	1
cluster_4998	1	0.00	0	1
cluster_4999	1	0.00	0	1
cluster_5000	1	0.00	0	1
cluster_5001	1	0.00	0	1
cluster_5002	1	0.00	0	1
cluster_5003	1	0.00	0	1
cluster_5004	1	0.00	0	1
cluster_5005	1	0.00	0	1
cluster_5006	1	0.00	0	1
cluster_5007	1	100.00	1	1
cluster_5008	1	0.00	0	1
cluster_5009	1	0.00	0	1
cluster_5010	1	0.00	0	1
cluster_5011	1	0.00	0	1
cluster_5012	1	0.00	0	1
cluster_5013	1	0.00	0	1
cluster_5014	1	0.00	0	1
cluster_5015	1	0.00	0	1
cluster_5016	1	0.00	0	1
cluster_5017	1	0.00	0	1
cluster_5018	1	0.00	0	1
cluster_5019	1	0.00	0	1
cluster_5020	1	0.00	0	1
cluster_5021	1	0.00	0	1
cluster_5022	1	0.00	0	1
cluster_5023	1	0.00	0	1
cluster_5024	1	0.00	0	1
cluster_5025	1	0.00	0	1
cluster_5026	1	0.00	0	1
cluster_5027	1	0.00	0	1
cluster_5028	1	0.00	0	1
cluster_5029	1	0.00	0	1
cluster_5030	1	0.00	0	1
cluster_5031	1	0.00	0	1
cluster_5032	1	0.00	0	1
cluster_5033	1	0.00	0	1
cluster_5034	1	0.00	0	1
cluster_5035	1	100.00	1	1
cluster_5036	1	0.00	0	1
cluster_5037	1	0.00	0	1
cluster_5038	1	100.00	1	1
cluster_5039	1	0.00	0	1
cluster_5040	1	0.00	0	1
cluster_5041	1	0.00	0	1
cluster_5042	1	0.00	0	1
cluster_5043	1	0.00	0	1
cluster_5044	1	0.00	0	1
cluster_5045	1	0.00	0	1
cluster_5046	1	0.00	0	1
cluster_5047	1	0.00	0	1
cluster_5048	1	0.00	0	1
cluster_5049	1	0.00	0	1
cluster_5050	1	0.00	0	1
cluster_5051	1	0.00	0	1
cluster_5052	1	0.00	0	1
cluster_5053	1	0.00	0	1
cluster_5054	1	0.00	0	1
cluster_5055	1	0.00	0	1
cluster_5056	1	0.00	0	1
cluster_5057	1	0.00	0	1
cluster_5058	1	0.00	0	1
cluster_5059	1	0.00	0	1
cluster_5060	1	0.00	0	1
cluster_5061	1	0.00	0	1
cluster_5062	1	0.00	0	1
cluster_5063	1	0.00	0	1
cluster_5064	1	0.00	0	1
cluster_5065	1	0.00	0	1
cluster_5066	1	0.00	0	1
cluster_5067	1	0.00	0	1
cluster_5068	1	0.00	0	1
cluster_5069	1	0.00	0	1
cluster_5070	1	0.00	0	1
cluster_5071	1	0.00	0	1
cluster_5072	1	0.00	0	1
cluster_5073	1	100.00	1	1
cluster_5074	1	0.00	0	1
cluster_5075	1	0.00	0	1
cluster_5076	1	0.00	0	1
cluster_5077	1	0.00	0	1
cluster_5078	1	0.00	0	1
cluster_5079	1	0.00	0	1
cluster_5080	1	0.00	0	1
cluster_5081	1	0.00	0	1
cluster_5082	1	0.00	0	1
